arm,model,layer,source_turn,target_turn,r2
armG,pretrained,19,15,14,0.6442128595909593
armG,pretrained,19,15,15,0.6466001724942134
armG,pretrained,19,15,16,0.645655177489759
armG,pretrained,19,15,2,0.2530922205756184
armG,pretrained,19,15,3,0.45034040210647885
armG,pretrained,19,15,4,0.5216961252771006
armG,pretrained,19,15,5,0.5611503802983765
armG,pretrained,19,15,6,0.5836156203521204
armG,pretrained,19,15,7,0.6028386370861403
armG,pretrained,19,15,8,0.6134149899122454
armG,pretrained,19,15,9,0.622241893172994
armG,pretrained,19,16,1,-0.20420095800489935
armG,pretrained,19,16,10,0.6239445515392235
armG,pretrained,19,16,11,0.6317300933990884
armG,pretrained,19,16,12,0.6390089502005865
armG,pretrained,19,16,13,0.6391836403295031
armG,pretrained,19,16,14,0.6398536879264543
armG,pretrained,19,16,15,0.6422834372406054
armG,pretrained,19,16,16,0.6508502596754094
armG,pretrained,19,16,2,0.24566676771152673
armG,pretrained,19,16,3,0.4428615891054095
armG,pretrained,19,16,4,0.5159517017818314
armG,pretrained,19,16,5,0.5553007595584409
armG,pretrained,19,16,6,0.5789718510209756
armG,pretrained,19,16,7,0.5972269970255859
armG,pretrained,19,16,8,0.6090514212318191
armG,pretrained,19,16,9,0.6168813398345384
armG,pretrained,19,2,1,0.08666094884718967
armG,pretrained,19,2,10,0.328114356721635
armG,pretrained,19,2,11,0.3055717260406876
armG,pretrained,19,2,12,0.2909453312199469
armG,pretrained,19,2,13,0.2686820012505996
armG,pretrained,19,2,14,0.25060003179763535
armG,pretrained,19,2,15,0.23673131750563692
armG,pretrained,19,2,16,0.23288593806628577
armG,pretrained,19,2,2,0.4437820233256494
armG,pretrained,19,2,3,0.47335210057436816
armG,pretrained,19,2,4,0.4558986719757031
armG,pretrained,19,2,5,0.43110249981170623
armG,pretrained,19,2,6,0.40644595793272853
armG,pretrained,19,2,7,0.3836641468733798
armG,pretrained,19,2,8,0.36464654232500715
armG,pretrained,19,2,9,0.3446638213436525
armG,pretrained,19,3,1,0.04183621390600467
armG,pretrained,19,3,10,0.5454446214152938
armG,pretrained,19,3,11,0.5376030010498888
armG,pretrained,19,3,12,0.5333041842617345
armG,pretrained,19,3,13,0.5212928635272032
armG,pretrained,19,3,14,0.5117149738826878
armG,pretrained,19,3,15,0.5039888891848074
armG,pretrained,19,3,16,0.49898620473834476
armG,pretrained,19,3,2,0.4029608657725431
armG,pretrained,19,3,3,0.546834113943021
armG,pretrained,19,3,4,0.5720150544550071
armG,pretrained,19,3,5,0.5769220662860469
armG,pretrained,19,3,6,0.5717704153424026
armG,pretrained,19,3,7,0.5672952386202476
armG,pretrained,19,3,8,0.5617455585463618
armG,pretrained,19,3,9,0.5528615650374993
armG,pretrained,19,4,1,-0.08169336532460503
armG,pretrained,19,4,10,0.5762335952800497
armG,pretrained,19,4,11,0.5694521758888675
armG,pretrained,19,4,12,0.5657328044431792
armG,pretrained,19,4,13,0.554002948588775
armG,pretrained,19,4,14,0.5456717749419895
armG,pretrained,19,4,15,0.5375965421565789
armG,pretrained,19,4,16,0.5330275429851725
armG,pretrained,19,4,2,0.3378480648311625
armG,pretrained,19,4,3,0.5326774265343108
armG,pretrained,19,4,4,0.580601548308824
armG,pretrained,19,4,5,0.5953330609021922
armG,pretrained,19,4,6,0.5964982591574081
armG,pretrained,19,4,7,0.5953774394457012
armG,pretrained,19,4,8,0.5901233998109273
armG,pretrained,19,4,9,0.5829260866815289
armG,pretrained,19,5,1,-0.14706135876095439
armG,pretrained,19,5,10,0.6078028245873017
armG,pretrained,19,5,11,0.605205536387849
armG,pretrained,19,5,12,0.604460130682416
armG,pretrained,19,5,13,0.5955594498876895
