arm,model,layer,turn,mapping,n,r2,null_mean,null_hi,null_max,r2_folds
armG,instruct,19,14,pfx,5000,0.43953310561857417,-0.14120572843426576,-0.13548871532914689,-0.13466176506287786,0.443612;0.444128;0.438706;0.436811;0.445922;0.424916
armG,instruct,19,15,ctx,5000,0.5667372805469104,-0.12857450500225076,-0.12271413400925138,-0.12155788854281635,0.565382;0.565991;0.576354;0.562177;0.564687;0.563175
armG,instruct,19,15,pfx,5000,0.43806180438814035,-0.14076505601833142,-0.13620139982104035,-0.13362456345211693,0.452500;0.448387;0.431053;0.439359;0.431025;0.423482
armG,instruct,19,16,ctx,5000,0.5703946376737339,-0.12829108969336145,-0.12265532015127131,-0.12056536281578456,0.572610;0.570383;0.580298;0.560534;0.565421;0.570776
armG,instruct,19,16,pfx,5000,0.43496288464151356,-0.1404796220396981,-0.1352750457211675,-0.1331024444733151,0.440041;0.439419;0.437147;0.425835;0.431604;0.432825
armG,pretrained,14,1,ctx,5000,0.2633069931723947,,,,0.251068;0.262706;0.266752;0.256549;0.274734;0.263555
armG,pretrained,14,2,ctx,5000,0.32076767013464635,,,,0.325617;0.320392;0.318560;0.314383;0.330860;0.310836
armG,pretrained,14,2,pfx,5000,0.22279356739424838,,,,0.225470;0.214578;0.226948;0.217398;0.228918;0.219027
armG,pretrained,14,3,ctx,5000,0.42374586658704017,,,,0.428372;0.420136;0.416383;0.419846;0.428662;0.426063
armG,pretrained,14,3,pfx,5000,0.3534690253000158,,,,0.359980;0.346533;0.350458;0.347316;0.358263;0.354864
armG,pretrained,14,4,ctx,5000,0.4669754329073833,,,,0.468451;0.454493;0.464751;0.461521;0.480185;0.469826
armG,pretrained,14,4,pfx,5000,0.3993456394725128,,,,0.401346;0.381545;0.398511;0.395227;0.408504;0.408043
armG,pretrained,14,5,ctx,5000,0.49443139607187203,,,,0.495097;0.486571;0.494278;0.487867;0.499312;0.500668
armG,pretrained,14,5,pfx,5000,0.4356922203542396,,,,0.431315;0.424093;0.429355;0.433955;0.446931;0.445647
armG,pretrained,14,6,ctx,5000,0.5060087815444163,,,,0.499720;0.501972;0.509037;0.500456;0.510573;0.511903
armG,pretrained,14,6,pfx,5000,0.45199849831042005,,,,0.444704;0.449034;0.454496;0.445863;0.459325;0.455921
armG,pretrained,14,7,ctx,5000,0.5193660197957257,,,,0.517640;0.518069;0.516267;0.520103;0.515542;0.526075
armG,pretrained,14,7,pfx,5000,0.4659251526916415,,,,0.461555;0.459395;0.465875;0.468756;0.463248;0.474036
armG,pretrained,14,8,ctx,5000,0.5257942888128108,,,,0.521958;0.523248;0.523708;0.524058;0.529974;0.529459
armG,pretrained,14,8,pfx,5000,0.46891351989716745,,,,0.466021;0.464408;0.469258;0.464267;0.471289;0.475591
armG,pretrained,14,9,ctx,5000,0.5321427328253484,,,,0.539960;0.523770;0.524062;0.531363;0.533690;0.537438
armG,pretrained,14,9,pfx,5000,0.47777544517944026,,,,0.487567;0.471142;0.462294;0.475852;0.483690;0.483249
armG,pretrained,14,10,ctx,5000,0.5335757636790094,,,,0.535881;0.534985;0.525189;0.525059;0.539895;0.537998
armG,pretrained,14,10,pfx,5000,0.4751540291010137,,,,0.473085;0.485332;0.459451;0.468682;0.480659;0.481165
armG,pretrained,14,11,ctx,5000,0.542201098792521,,,,0.548559;0.537056;0.537594;0.542222;0.541362;0.544025
armG,pretrained,14,11,pfx,5000,0.48703244176327576,,,,0.492238;0.489540;0.476210;0.483281;0.488530;0.489858
armG,pretrained,14,12,ctx,5000,0.551344645804472,,,,0.555547;0.548204;0.545916;0.548822;0.553400;0.553806
armG,pretrained,14,12,pfx,5000,0.492175253049555,,,,0.494155;0.492877;0.485884;0.485914;0.493051;0.498515
armG,pretrained,14,13,ctx,5000,0.5490705457266298,,,,0.550669;0.545522;0.546540;0.547430;0.553970;0.548129
armG,pretrained,14,13,pfx,5000,0.49495764578502666,,,,0.496332;0.494986;0.494512;0.485329;0.500064;0.496029
armG,pretrained,14,14,ctx,5000,0.5505870187495523,,,,0.550473;0.550749;0.546170;0.551957;0.554059;0.547842
armG,pretrained,14,14,pfx,5000,0.49403026493983837,,,,0.492615;0.503534;0.488882;0.496406;0.494551;0.485719
armG,pretrained,14,15,ctx,5000,0.5511710153739303,,,,0.553684;0.556261;0.544378;0.547746;0.556986;0.546019
armG,pretrained,14,15,pfx,5000,0.49490272071729047,,,,0.501319;0.502699;0.484583;0.490467;0.505133;0.483261
armG,pretrained,14,16,ctx,5000,0.5527912739147423,,,,0.554650;0.552935;0.546432;0.557511;0.546764;0.556153
armG,pretrained,14,16,pfx,5000,0.4947052632209007,,,,0.496437;0.504786;0.487984;0.495279;0.488189;0.493098
armG,pretrained,18,1,ctx,5000,0.2945480619830252,,,,0.281669;0.292380;0.299758;0.291632;0.305694;0.291536
armG,pretrained,18,2,ctx,5000,0.3668100197926386,,,,0.373665;0.364856;0.361896;0.358045;0.378441;0.360136
armG,pretrained,18,2,pfx,5000,0.21342346320641992,,,,0.214406;0.212805;0.215684;0.204421;0.223661;0.204919
armG,pretrained,18,3,ctx,5000,0.4888890351277525,,,,0.493889;0.483595;0.481973;0.486556;0.494836;0.489863
armG,pretrained,18,3,pfx,5000,0.3690685740850569,,,,0.378766;0.364535;0.363480;0.364864;0.369152;0.370357
armG,pretrained,18,4,ctx,5000,0.5355229569658906,,,,0.535717;0.527609;0.529963;0.531262;0.546621;0.539698
