behavior,regime,variant,u_rung_label,budget_l,draw,seed,f_u,f_l,delta_rho_frozen,ci_lo_inherited,ci_hi_inherited,rho_arm6,rho_arm2
evil,e1,context_end,250,2500,2,2,,,-0.32496000692809285,-0.3575840866411706,-0.29236892095610295,0.32632642844844023,0.6512864353765331
evil,e2,context_end,250,2500,2,2,,,-0.5008114674092838,-0.5275118438191471,-0.4500943933914044,0.1504749679672492,0.6512864353765331
evil,e2p,context_end,250,2500,2,2,,,-0.31702609518996705,-0.35513382787414466,-0.2803006272591432,0.33426034018656603,0.6512864353765331
evil,e1,context_end,250,2500,3,0,,,-0.31994543394032465,-0.3529458552069566,-0.2834081872862759,0.3388315208251253,0.65877695476545
evil,e2,context_end,250,2500,3,0,,,-0.5238127655596525,-0.5622077489564474,-0.47804291224753925,0.1349641892057975,0.65877695476545
evil,e2p,context_end,250,2500,3,0,,,-0.31821495806607375,-0.35566012588041285,-0.27931050071420216,0.3405619966993762,0.65877695476545
evil,e1,context_end,250,2500,3,1,,,-0.31139932337909265,-0.3451473776127451,-0.27891659270114094,0.3487291286368211,0.6601284520159137
evil,e2,context_end,250,2500,3,1,,,-0.5165717876913353,-0.5451339324718032,-0.47306026140214846,0.14355666432457845,0.6601284520159137
evil,e2p,context_end,250,2500,3,1,,,-0.3052449432082694,-0.34296578634585395,-0.26426886914288295,0.35488350880764435,0.6601284520159137
evil,e1,context_end,250,2500,3,2,,,-0.32376288026600003,-0.35745340397240155,-0.2944615119366627,0.3146668005466117,0.6384296808126118
evil,e2,context_end,250,2500,3,2,,,-0.4871609677112322,-0.5196524028190233,-0.44742835209610354,0.15126871310137954,0.6384296808126118
evil,e2p,context_end,250,2500,3,2,,,-0.2993963630654781,-0.34127819249176145,-0.27081908414258804,0.33903331774713363,0.6384296808126118
evil,e1,context_end,250,2500,4,0,,,-0.31930220375420487,-0.34967963696550364,-0.2916664708943602,0.34712260932216416,0.666424813076369
evil,e2,context_end,250,2500,4,0,,,-0.5210434708822073,-0.564784203597369,-0.47483547724458414,0.14538134219416174,0.666424813076369
evil,e2p,context_end,250,2500,4,0,,,-0.33671002419796664,-0.3747899546994416,-0.2978474013874554,0.3297147888784024,0.666424813076369
evil,e1,context_end,250,2500,4,1,,,-0.3160544184777429,-0.3507160632672382,-0.2817790917994148,0.344432501654985,0.6604869201327279
evil,e2,context_end,250,2500,4,1,,,-0.4814465549489818,-0.5271406584997104,-0.43957494382013335,0.1790403651837461,0.6604869201327279
evil,e2p,context_end,250,2500,4,1,,,-0.2798106103425765,-0.3150850049182121,-0.24466305554401369,0.38067630979015143,0.6604869201327279
evil,e1,context_end,250,2500,4,2,,,-0.32261961952804247,-0.3572575553824233,-0.2889521069901186,0.32588399792347283,0.6485036174515153
evil,e2,context_end,250,2500,4,2,,,-0.5326093319344294,-0.5619012358464905,-0.489114751473834,0.1158942855170859,0.6485036174515153
evil,e2p,context_end,250,2500,4,2,,,-0.31818115823941234,-0.3555416225304673,-0.2799194692686388,0.33032245921210296,0.6485036174515153
evil,e1,context_end,250,8000,0,0,,,-0.31443856097144895,-0.33643846221887436,-0.29458707233767234,0.3435293645295344,0.6579679255009834
evil,e2,context_end,250,8000,0,0,,,-0.49874722330337456,-0.5264818288091115,-0.471327153168116,0.1592207021976088,0.6579679255009834
evil,e2p,context_end,250,8000,0,0,,,-0.3010936549513722,-0.32219980320816444,-0.2792866304691011,0.3568742705496112,0.6579679255009834
evil,e1,context_end,250,8000,0,1,,,-0.31994660160335575,-0.3390773758271629,-0.297467580030785,0.3435293645295344,0.6634759661328902
evil,e2,context_end,250,8000,0,1,,,-0.5042552639352813,-0.5296410943810774,-0.47869421863997197,0.1592207021976088,0.6634759661328902
evil,e2p,context_end,250,8000,0,1,,,-0.306601695583279,-0.3285054205634637,-0.2855624878924722,0.3568742705496112,0.6634759661328902
evil,e1,context_end,250,8000,0,2,,,-0.31925317034175027,-0.34017664834467765,-0.29867435318811036,0.3435293645295344,0.6627825348712847
evil,e2,context_end,250,8000,0,2,,,-0.5035618326736759,-0.5318508895284056,-0.4790941956279646,0.1592207021976088,0.6627825348712847
evil,e2p,context_end,250,8000,0,2,,,-0.3059082643216735,-0.3297410046200234,-0.2826286476417287,0.3568742705496112,0.6627825348712847
evil,e1,context_end,250,8000,1,0,,,-0.3221353449918005,-0.34295194968552256,-0.30193755035324477,0.3435293645295344,0.6656647095213349
evil,e2,context_end,250,8000,1,0,,,-0.5064440073237262,-0.5334997770642059,-0.47904836481072594,0.1592207021976088,0.6656647095213349
evil,e2p,context_end,250,8000,1,0,,,-0.30879043897172376,-0.33315641878365027,-0.2866846121623327,0.3568742705496112,0.6656647095213349
evil,e1,context_end,250,8000,1,1,,,-0.32128915473084985,-0.3423468456232997,-0.30246590198586903,0.3435293645295344,0.6648185192603843
evil,e2,context_end,250,8000,1,1,,,-0.5055978170627755,-0.5305663623454983,-0.4764967515926573,0.1592207021976088,0.6648185192603843
evil,e2p,context_end,250,8000,1,1,,,-0.3079442487107731,-0.33077529902154484,-0.28573479129350876,0.3568742705496112,0.6648185192603843
evil,e1,context_end,250,8000,1,2,,,-0.3184524884396922,-0.33805482905972767,-0.29770296144658637,0.3435293645295344,0.6619818529692266
evil,e2,context_end,250,8000,1,2,,,-0.5027611507716179,-0.5302046552246525,-0.4761439698478111,0.1592207021976088,0.6619818529692266
evil,e2p,context_end,250,8000,1,2,,,-0.30510758241961544,-0.32901482139228644,-0.2821313009235348,0.3568742705496112,0.6619818529692266
evil,e1,context_end,250,8000,2,0,,,-0.32055400160072167,-0.3402803749948664,-0.2994984580736534,0.3435293645295344,0.6640833661302561
evil,e2,context_end,250,8000,2,0,,,-0.5048626639326472,-0.5324356124195408,-0.4791623548945756,0.1592207021976088,0.6640833661302561
evil,e2p,context_end,250,8000,2,0,,,-0.3072090955806449,-0.3280956826881741,-0.28484347684965783,0.3568742705496112,0.6640833661302561
evil,e1,context_end,250,8000,2,1,,,-0.31746928526013485,-0.339101912048739,-0.29633154093576364,0.3435293645295344,0.6609986497896693
evil,e2,context_end,250,8000,2,1,,,-0.5017779475920605,-0.52768073140214,-0.47345468085781217,0.1592207021976088,0.6609986497896693
evil,e2p,context_end,250,8000,2,1,,,-0.3041243792400581,-0.326942884673628,-0.2822416662715954,0.3568742705496112,0.6609986497896693
evil,e1,context_end,250,8000,2,2,,,-0.3223204600314993,-0.3433173761167143,-0.30197357157802185,0.3435293645295344,0.6658498245610337
evil,e2,context_end,250,8000,2,2,,,-0.5066291223634249,-0.5337551012454175,-0.47931863162640104,0.1592207021976088,0.6658498245610337
evil,e2p,context_end,250,8000,2,2,,,-0.3089755540114225,-0.3306355915563904,-0.28569302432367033,0.3568742705496112,0.6658498245610337
evil,e1,context_end,250,8000,3,0,,,-0.3198602268706242,-0.342872988275398,-0.29942583728060057,0.3435293645295344,0.6633895914001586
evil,e2,context_end,250,8000,3,0,,,-0.5041688892025498,-0.5319803410112667,-0.47695344221171054,0.1592207021976088,0.6633895914001586
evil,e2p,context_end,250,8000,3,0,,,-0.30651532085054745,-0.33121038094635924,-0.28250234151170106,0.3568742705496112,0.6633895914001586
evil,e1,context_end,250,8000,3,1,,,-0.31929176396169234,-0.3414289589141652,-0.2994852201763242,0.3435293645295344,0.6628211284912268
evil,e2,context_end,250,8000,3,1,,,-0.503600426293618,-0.5302746574328222,-0.4790476855917303,0.1592207021976088,0.6628211284912268
evil,e2p,context_end,250,8000,3,1,,,-0.3059468579416156,-0.3287104305373902,-0.2848294794775351,0.3568742705496112,0.6628211284912268
evil,e1,context_end,250,8000,3,2,,,-0.320089812022748,-0.3410790131875927,-0.2998288470131948,0.3435293645295344,0.6636191765522824
evil,e2,context_end,250,8000,3,2,,,-0.5043984743546737,-0.5312800349914996,-0.4762472501111209,0.1592207021976088,0.6636191765522824
evil,e2p,context_end,250,8000,3,2,,,-0.30674490600267124,-0.329399976135643,-0.28528245616609094,0.3568742705496112,0.6636191765522824
evil,e1,context_end,250,8000,4,0,,,-0.32141949862639607,-0.34161275053445145,-0.302149651859699,0.3435293645295344,0.6649488631559305
evil,e2,context_end,250,8000,4,0,,,-0.5057281609583217,-0.5303549076067252,-0.47650234231547667,0.1592207021976088,0.6649488631559305
evil,e2p,context_end,250,8000,4,0,,,-0.3080745926063193,-0.33155441317133816,-0.2871173761891807,0.3568742705496112,0.6649488631559305
evil,e1,context_end,250,8000,4,1,,,-0.3210988440659688,-0.3420831435201203,-0.300458424619329,0.3435293645295344,0.6646282085955032
evil,e2,context_end,250,8000,4,1,,,-0.5054075063978944,-0.53109518657671,-0.4803877321034477,0.1592207021976088,0.6646282085955032
evil,e2p,context_end,250,8000,4,1,,,-0.307753938045892,-0.3277909852462915,-0.285537494601361,0.3568742705496112,0.6646282085955032
evil,e1,context_end,250,8000,4,2,,,-0.3202826373313902,-0.3400533372467816,-0.2998378043390699,0.3435293645295344,0.6638120018609246
evil,e2,context_end,250,8000,4,2,,,-0.5045912996633157,-0.5315497379034452,-0.4774452897071659,0.1592207021976088,0.6638120018609246
evil,e2p,context_end,250,8000,4,2,,,-0.3069377313113134,-0.3290283156093525,-0.2852037958272259,0.3568742705496112,0.6638120018609246
evil,e1,context_end,5000,250,0,0,,,-0.15755786973223473,-0.26573742332705574,-0.04038210869279448,0.2725158701687667,0.43007373990100145
evil,e2,context_end,5000,250,0,0,,,-0.28481129894513557,-0.37874535096266226,-0.14887658518289126,0.1452624409558659,0.43007373990100145
evil,e2p,context_end,5000,250,0,0,,,-0.1490836243828348,-0.2817280474892439,-0.03573703066006886,0.28099011551816666,0.43007373990100145
evil,e1,context_end,5000,250,0,1,,,-0.22992225802642202,-0.3061733790321916,-0.11247764912002071,0.3877819926641561,0.6177042506905781
evil,e2,context_end,5000,250,0,1,,,-0.31795656472763767,-0.40522728669464997,-0.20036117143899324,0.29974768596294044,0.6177042506905781
evil,e2p,context_end,5000,250,0,1,,,-0.2849509959129313,-0.33362094845231716,-0.14148278470429698,0.3327532547776468,0.6177042506905781
evil,e1,context_end,5000,250,0,2,,,-0.2774036216355313,-0.37967914150295723,-0.17901305550551008,0.3761432430879062,0.6535468647234375
evil,e2,context_end,5000,250,0,2,,,-0.41594013882554287,-0.5191114364042774,-0.2694865978616186,0.2376067258978946,0.6535468647234375
evil,e2p,context_end,5000,250,0,2,,,-0.23269742332507182,-0.33515817669921855,-0.11408460491569085,0.42084944139836566,0.6535468647234375
evil,e1,context_end,5000,250,1,0,,,-0.20895043613274267,-0.26474434061267715,-0.06729207946152087,0.30282846047809486,0.5117788966108375
evil,e2,context_end,5000,250,1,0,,,-0.23030557778713556,-0.3322820419377663,-0.12374345495942636,0.28147331882370197,0.5117788966108375
evil,e2p,context_end,5000,250,1,0,,,-0.136339057435992,-0.24107771385737353,-0.03099122262778384,0.3754398391748455,0.5117788966108375
evil,e1,context_end,5000,250,1,1,,,-0.27222170073688556,-0.33608435600659986,-0.15139989682978616,0.32901621556789085,0.6012379163047764
evil,e2,context_end,5000,250,1,1,,,-0.2965899633542878,-0.39512819810815264,-0.1785946834940697,0.30464795295048863,0.6012379163047764
evil,e2p,context_end,5000,250,1,1,,,-0.21304665281150204,-0.2942859440442064,-0.10909559357407385,0.3881912634932744,0.6012379163047764
evil,e1,context_end,5000,250,1,2,,,-0.12856363458953457,-0.2408795467444677,-0.017633712804227243,0.4727283396854085,0.6012919742749431
evil,e2,context_end,5000,250,1,2,,,-0.24173163451842283,-0.35391570876014206,-0.13420986065168627,0.35956033975652024,0.6012919742749431
evil,e2p,context_end,5000,250,1,2,,,-0.18560784532027036,-0.2939244135092714,-0.09143171369034793,0.4156841289546727,0.6012919742749431
evil,e1,context_end,5000,250,2,0,,,-0.23529828023858396,-0.31282195700298937,-0.12774712149472683,0.4203951831859792,0.6556934634245631
evil,e2,context_end,5000,250,2,0,,,-0.33849028982665247,-0.43124538918181743,-0.2327864439703079,0.31720317359791067,0.6556934634245631
evil,e2p,context_end,5000,250,2,0,,,-0.25711830617154713,-0.32529382663387285,-0.1442597099692251,0.398575157253016,0.6556934634245631
evil,e1,context_end,5000,250,2,1,,,-0.22099869089963553,-0.29708174382282304,-0.13765377150945576,0.41976058795580906,0.6407592788554446
evil,e2,context_end,5000,250,2,1,,,-0.4056755623038698,-0.46842499503956775,-0.2878068616799653,0.23508371655157478,0.6407592788554446
evil,e2p,context_end,5000,250,2,1,,,-0.19995603418398333,-0.2701404224192475,-0.11004018448882467,0.44080324467146126,0.6407592788554446
evil,e1,context_end,5000,250,2,2,,,-0.11809813305692429,-0.2415357996324689,0.003867634959918723,0.29808482695994837,0.41618296001687266
evil,e2,context_end,5000,250,2,2,,,-0.23621989519209133,-0.33274578936047994,-0.09749696865058978,0.17996306482478133,0.41618296001687266
evil,e2p,context_end,5000,250,2,2,,,-0.1929506475083734,-0.2658818849677661,-0.030811405161366528,0.22323231250849926,0.41618296001687266
evil,e1,context_end,5000,250,3,0,,,-0.30930752884821283,-0.34394191562257465,-0.17449668039446023,0.3366791111126283,0.6459866399608412
evil,e2,context_end,5000,250,3,0,,,-0.40609192013471507,-0.44940050465467,-0.25962147177560824,0.23989471982612612,0.6459866399608412
evil,e2p,context_end,5000,250,3,0,,,-0.27610809161546074,-0.3253213482137963,-0.13820658539599084,0.3698785483453804,0.6459866399608412
evil,e1,context_end,5000,250,3,1,,,-0.34797044437999547,-0.40637093080362485,-0.21408870198811503,0.29855936979028574,0.6465298141702812
evil,e2,context_end,5000,250,3,1,,,-0.45788566033577016,-0.513781074404307,-0.30133516364661955,0.18864415383451108,0.6465298141702812
evil,e2p,context_end,5000,250,3,1,,,-0.3979450616464167,-0.4474009093047931,-0.24717586661839822,0.24858475252386453,0.6465298141702812
evil,e1,context_end,5000,250,3,2,,,-0.25018872159483996,-0.359345559297487,-0.15670721071123556,0.38152342598065436,0.6317121475754943
evil,e2,context_end,5000,250,3,2,,,-0.27261644955657527,-0.4059189522569726,-0.17849467480152195,0.35909569801891905,0.6317121475754943
evil,e2p,context_end,5000,250,3,2,,,-0.3180182142730063,-0.39046535074304733,-0.190212921450965,0.313693933302488,0.6317121475754943
evil,e1,context_end,5000,250,4,0,,,-0.15504683440462547,-0.2352235983176286,-0.0364880876276427,0.39240592531440827,0.5474527597190337
